Event Name,Speaker Name,Display Pic url,Designation,Company,Linkedin
AI & Big Data Expo,Emilio Billi,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Emilio-Billi.jpg,CTO,A3Cube Inc,https://www.owler.com/company/philab
AI & Big Data Expo,Pierre-Philippe Mathieu,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Pierre-Philipe.jpg,Head of Philab Explore Office,European Space Agency,https://www.linkedin.com/in/peter-heurling-03135811/
AI & Big Data Expo,Peter Heurling,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Peter-Heurling.jpg,"Director Enterprise Solutions, EMEA",Meltwater,https://it.linkedin.com/in/filippo-leoncini
AI & Big Data Expo,Filippo Leoncini,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/0-3.jpg,Data Scientist ,Prada Group,https://nl.linkedin.com/in/jeroendas
AI & Big Data Expo,Jeroen Das,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Banko-2.jpg,Product Owner Chatbots,ABN AMRO Bank N.V.,https://nl.linkedin.com/in/reiniervandenbiggelaar
AI & Big Data Expo,Reinier van den Biggelaar,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Reinier-1.jpg,Director Data Science and AI,Ortec,https://www.crunchbase.com/person/ruud-schmeink
AI & Big Data Expo,Ruud Schmeink,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Ruud-Picture.jpg,CEO,MarketRedesign,https://be.linkedin.com/in/andrearenda
AI & Big Data Expo,Andrea Renda,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Andrea.jpg,Member of the High Level Expert Group on AI ,European Commission,https://nl.linkedin.com/in/leocardinaals/zh-cn
AI & Big Data Expo,Dennis Wilbrink,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/dennis-wilbrink.jpg,Solutions Engineer,Hitachi Vantara,https://uk.linkedin.com/in/nelsonmpereira
AI & Big Data Expo,Nelson Pereira,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/Nelson-Pereira-headshot.jpg,Customer Engineering Manager,Google Cloud,https://uk.linkedin.com/in/peppersack
AI & Big Data Expo,Chris Tomlinson,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Chris-Tomlinson.jpg,Director,Data Science Foundation,https://www.accenture.com/gb-en/careers/jobdetails?id=00625493_en
AI & Big Data Expo,Axel Goris,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Axel-Goris.jpg,Europe Chapter lead Visual Intelligence & Analytics ,Accenture Applied Intelligence,https://in.linkedin.com/pub/dir/Tushar/Kesarkar
AI & Big Data Expo,Tushar Kesarkar,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/Tushnar-Infosys.jpg,Head of Analytics Delivery,Infosys,https://uk.linkedin.com/in/jonathanbowl
AI & Big Data Expo,Jonathan Bowl,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Jonathan-Bowl.jpg,"Vice President and General Manager, Big Data Analytics and IoT ",Hitachi Vantara,https://uk.linkedin.com/in/jonhalluk
